B Num,Symbol,EcoCycID,ECK Num
b0776,bioF,EG10121,ECK0765
b3412,bioH,EG10122,ECK3399
b3412,bioB,EG10122,ECK3399
b3827,bioP,EG11471,ECK3821
b3827,yigM,EG11471,ECK3821
b3871,bipA,EG11837,ECK3864
b3871,typA,EG11837,ECK3864
b3871,yihK,EG11837,ECK3864
b3973,birA,EG10123,ECK3965
b3973,bioR,EG10123,ECK3965
b3973,dhbB,EG10123,ECK3965
b3551,bisC,EG10124,ECK3538
b4149,blc,G7837,ECK4145
b4149,yjeL,G7837,ECK4145
b4409,blr,G0-9561,ECK1620
b1163,bluF,G6603,ECK1150
b1163,ycgF,G6603,ECK1150
b1162,bluR,G6602,ECK1149
b1162,ycgE,G6602,ECK1149
b0435,bolA,EG10125,ECK0429
b0557,borD,G6312,ECK0549
b0557,iss,G6312,ECK0549
b0557,vboR,G6312,ECK0549
b0557,bor,G6312,ECK0549
b0557,ybcU,G6312,ECK0549
b0401,brnQ,EG12168,ECK0395
b0401,hrbA,EG12168,ECK0395
b4189,bsmA,G7852,ECK4185
b4189,yjfO,G7852,ECK4185
b0836,bssR,G6436,ECK0826
b0836,yliH,G6436,ECK0826
b1060,bssS,G6557,ECK1045
b1060,yceP,G6557,ECK1045
b2125,btsR,EG12006,ECK2117
b2125,yehT,EG12006,ECK2117
b2126,btsS,EG12007,ECK2118
b2126,yehU,EG12007,ECK2118
b3966,btuB,EG10126,ECK3958
b3966,bfe,EG10126,ECK3958
b3966,cer,EG10126,ECK3958
b1711,btuC,EG10127,ECK1709
b1709,btuD,EG10128,ECK1707
b1710,btuE,EG10129,ECK1708
b0158,btuF,EG12334,ECK0157
b0158,yadT,EG12334,ECK0157
b1270,btuR,EG10130,ECK1264
b1270,cobA,EG10130,ECK1264
b4131,cadA,EG10131,ECK4125
b4131,ldcI,EG10131,ECK4125
b4132,cadB,EG10132,ECK4126
b4133,cadC,EG10133,ECK4127
b0039,caiA,EG11560,ECK0040
b0039,yaaO,EG11560,ECK0040
b0038,caiB,EG11559,ECK0039
b0038,yaaN,EG11559,ECK0039
b0037,caiC,EG11558,ECK0038
b0037,yaaM,EG11558,ECK0038
b0036,caiD,EG11557,ECK0037
b0036,yaaL,EG11557,ECK0037
b0035,caiE,EG12608,ECK0036
b0034,caiF,G6088,ECK0035
b0040,caiT,EG11561,ECK0041
b0040,yaaP,EG11561,ECK0041
b0126,can,EG12319,ECK0125
b0126,yadF,EG12319,ECK0125
b0032,carA,EG10134,ECK0033
b0032,arg,EG10134,ECK0033
b0032,cap,EG10134,ECK0033
b0032,pyrA,EG10134,ECK0033
b0033,carB,EG10135,ECK0034
b0033,cap,EG10135,ECK0034
b0033,pyrA,EG10135,ECK0034
b2755,cas1,G7425,ECK2750
b2755,ygbT,G7425,ECK2750
b2754,cas2,EG12845,ECK2749
b2754,ygbF,EG12845,ECK2749
b2761,cas3,EG12634,ECK2756
b2761,ygcB,EG12634,ECK2756
b2760,casA,G7430,ECK2755
b2760,ygcL,G7430,ECK2755
b2760,cse1,G7430,ECK2755
b2759,casB,G7429,ECK2754
b2759,ygcK,G7429,ECK2754
b2759,cse2,G7429,ECK2754
b2758,casC,G7428,ECK2753
b2758,ygcJ,G7428,ECK2753
b2758,cse4,G7428,ECK2753
b2758,cas7,G7428,ECK2753
b2757,casD,G7427,ECK2752
b2757,ygcI,G7427,ECK2752
b2757,cas5e,G7427,ECK2752
b2756,casE,G7426,ECK2751
b2756,ygcH,G7426,ECK2751
b2756,cse3,G7426,ECK2751
b2756,cas6e,G7426,ECK2751
b2004,cbeA,G7084,ECK1997
b2004,yeeU,G7084,ECK1997
b1987,cbl,G7071,ECK1982
